ID,Date,Element,Data_Value
UPM00034519,2013-12-11,TMAX,-112
UPM00034524,2006-08-27,TMAX,331
UPM00034519,2007-04-28,TMIN,76
UPM00034524,2005-10-26,TMIN,-21
UPM00034524,2007-04-06,TMIN,45
UPM00034519,2006-07-11,TMIN,171
UPM00034524,2006-02-20,TMAX,-2
UPM00034524,2007-09-10,TMIN,86
UPM00034524,2005-05-01,TMAX,112
UPM00034519,2005-08-25,TMAX,289
UPM00034524,2005-03-05,TMIN,-96
UPM00034524,2005-09-17,TMAX,292
UPM00034519,2011-06-07,TMIN,156
UPM00034519,2007-05-22,TMIN,181
UPM00034519,2012-06-13,TMIN,195
UPM00034519,2006-11-30,TMAX,45
UPM00034519,2006-11-30,TMIN,-24
UPM00034519,2005-05-25,TMIN,167
UPM00034519,2009-10-23,TMAX,160
UPM00034519,2013-05-14,TMAX,260
UPM00034519,2013-05-14,TMIN,116
UPM00034524,2009-01-15,TMIN,-54
UPM00034524,2005-07-01,TMIN,143
UPM00034519,2012-02-08,TMIN,-219
UPM00034519,2005-12-26,TMAX,3
UPM00034524,2005-11-22,TMIN,-21
UPM00034519,2012-08-07,TMIN,195
UPM00034519,2005-02-24,TMIN,-42
UPM00034519,2005-02-01,TMIN,-124
UPM00034519,2008-10-15,TMAX,195
UPM00034524,2005-11-22,TMAX,35
UPM00034519,2010-01-29,TMIN,-130
UPM00034519,2012-06-13,TMAX,324
UPM00034519,2010-09-19,TMAX,242
UPM00034519,2009-10-23,TMIN,84
UPM00034519,2006-05-30,TMAX,227
UPM00034519,2010-05-28,TMAX,248
UPM00034519,2009-07-26,TMAX,337
UPM00034519,2010-06-30,TMAX,273
UPM00034519,2014-02-23,TMIN,-20
UPM00034519,2005-04-25,TMAX,152
UPM00034519,2012-09-26,TMAX,216
UPM00034519,2005-04-25,TMIN,32
UPM00034519,2014-02-26,TMIN,-54
UPM00034519,2005-02-25,TMIN,-49
UPM00034519,2005-07-03,TMAX,268
UPM00034524,2005-08-12,TMAX,280
UPM00034519,2008-07-25,TMIN,219
UPM00034524,2014-09-01,TMAX,263
UPM00034519,2013-08-29,TMAX,290
UPM00034519,2010-05-29,TMAX,245
UPM00034519,2012-09-26,TMIN,125
UPM00034519,2014-05-01,TMAX,190
UPM00034524,2005-01-23,TMIN,-10
UPM00034519,2009-07-29,TMIN,131
UPM00034519,2012-07-25,TMAX,319
UPM00034519,2009-10-27,TMIN,-9
UPM00034524,2005-06-01,TMAX,297
UPM00034519,2009-07-29,TMAX,229
UPM00034524,2006-02-10,TMIN,-181
UPM00034524,2005-11-21,TMAX,66
UPM00034519,2012-07-17,TMAX,254
UPM00034519,2014-05-02,TMAX,154
UPM00034519,2005-01-19,TMIN,-10
UPM00034519,2013-05-13,TMAX,230
UPM00034524,2014-08-05,TMAX,283
UPM00034524,2007-04-23,TMIN,12
UPM00034519,2009-10-27,TMAX,97
UPM00034519,2014-02-11,TMAX,36
UPM00034519,2010-05-23,TMIN,128
UPM00034524,2008-06-11,TMIN,150
UPM00034519,2009-11-05,TMAX,33
UPM00034519,2008-05-05,TMIN,41
UPM00034519,2005-11-21,TMIN,63
UPM00034519,2012-08-07,TMAX,354
UPM00034524,2007-01-12,TMAX,59
UPM00034519,2011-09-08,TMAX,237
UPM00034524,2006-05-26,TMIN,135
UPM00034519,2006-02-07,TMIN,-245
UPM00034519,2010-04-16,TMAX,140
UPM00034519,2012-05-15,TMIN,165
UPM00034524,2007-01-12,TMIN,22
UPM00034519,2009-02-03,TMAX,-27
UPM00034524,2006-05-26,TMAX,221
UPM00034519,2005-02-08,TMIN,-189
UPM00034519,2007-06-21,TMIN,137
UPM00034519,2012-05-15,TMAX,275
UPM00034519,2013-10-09,TMIN,34
UPM00034519,2013-10-09,TMAX,147
UPM00034519,2009-11-05,TMIN,6
UPM00034519,2013-09-17,TMIN,91
UPM00034524,2008-02-25,TMIN,-10
UPM00034524,2005-08-12,TMIN,160
UPM00034524,2006-02-15,TMIN,-176
UPM00034519,2014-02-23,TMAX,18
UPM00034524,2014-09-01,TMIN,127
UPM00034524,2006-10-30,TMIN,45
UPM00034519,2009-03-31,TMAX,159
UPM00034519,2012-01-03,TMIN,-123
UPM00034519,2008-07-25,TMAX,355
UPM00034524,2007-01-20,TMIN,-3
UPM00034519,2013-01-06,TMAX,2
UPM00034519,2010-06-03,TMIN,199
UPM00034519,2010-05-29,TMIN,127
UPM00034519,2005-02-14,TMIN,-49
UPM00034519,2008-11-27,TMIN,-8
UPM00034519,2009-10-05,TMIN,103
UPM00034524,2006-12-05,TMIN,33
UPM00034524,2005-01-16,TMAX,14
UPM00034519,2013-09-11,TMIN,100
UPM00034519,2008-09-10,TMIN,152
UPM00034519,2012-08-04,TMIN,207
UPM00034519,2010-10-15,TMAX,119
UPM00034519,2008-09-10,TMAX,269
UPM00034524,2008-02-15,TMIN,-90
UPM00034519,2005-02-14,TMAX,6
UPM00034519,2010-08-16,TMAX,339
UPM00034519,2012-05-20,TMAX,275
UPM00034519,2011-10-15,TMAX,99
UPM00034519,2013-01-06,TMIN,-14
UPM00034519,2011-10-15,TMIN,22
UPM00034519,2005-02-25,TMAX,-20
UPM00034519,2009-10-05,TMAX,156
UPM00034519,2005-04-08,TMAX,195
UPM00034524,2005-01-16,TMIN,-1
UPM00034519,2012-05-20,TMIN,169
UPM00034519,2013-09-11,TMAX,224
UPM00034524,2007-05-14,TMIN,78
UPM00034519,2011-05-24,TMAX,285
UPM00034524,2014-07-31,TMIN,190
UPM00034524,2006-02-10,TMAX,-114
UPM00034519,2010-04-16,TMIN,31
UPM00034519,2011-10-21,TMAX,86
UPM00034524,2005-08-10,TMAX,272
UPM00034524,2007-03-20,TMIN,-5
UPM00034519,2010-10-04,TMAX,67
UPM00034519,2011-03-01,TMIN,-109
UPM00034519,2012-02-02,TMAX,-162
UPM00034519,2012-02-02,TMIN,-248
UPM00034519,2014-01-25,TMAX,-116
UPM00034524,2014-07-31,TMAX,304
UPM00034519,2014-01-25,TMIN,-196
UPM00034519,2011-12-05,TMIN,51
UPM00034524,2014-08-05,TMIN,159
UPM00034524,2005-07-13,TMAX,233
UPM00034519,2011-03-01,TMAX,-60
UPM00034519,2007-01-22,TMIN,38
UPM00034519,2007-01-22,TMAX,70
UPM00034519,2006-02-07,TMAX,-126
UPM00034524,2005-07-13,TMIN,129
UPM00034519,2006-08-25,TMIN,138
UPM00034519,2012-07-25,TMIN,158
UPM00034519,2012-12-03,TMIN,74
UPM00034519,2012-12-03,TMAX,110
UPM00034519,2011-09-05,TMAX,227
UPM00034519,2013-08-29,TMIN,188
UPM00034519,2010-10-15,TMIN,-13
UPM00034519,2011-05-24,TMIN,155
UPM00034519,2010-10-17,TMIN,27
UPM00034519,2011-11-21,TMAX,32
UPM00034524,2006-09-23,TMIN,128
UPM00034519,2012-10-15,TMAX,170
UPM00034524,2009-03-29,TMAX,96
UPM00034524,2005-06-04,TMIN,81
UPM00034524,2006-05-09,TMAX,139
UPM00034524,2006-08-09,TMAX,282
UPM00034519,2011-04-19,TMAX,193
UPM00034519,2007-01-15,TMAX,53
UPM00034519,2010-09-20,TMAX,262
UPM00034519,2005-04-07,TMIN,30
UPM00034519,2007-01-15,TMIN,18
UPM00034519,2011-04-19,TMIN,50
UPM00034519,2011-03-23,TMAX,88
UPM00034524,2005-06-04,TMAX,197
UPM00034519,2011-03-23,TMIN,7
UPM00034524,2005-03-07,TMIN,-33
UPM00034524,2009-03-17,TMIN,-38
UPM00034524,2006-08-09,TMIN,181
UPM00034524,2005-03-30,TMIN,-86
UPM00034519,2005-12-06,TMAX,8
UPM00034519,2010-09-16,TMIN,123
UPM00034519,2011-05-02,TMIN,74
UPM00034519,2011-01-09,TMAX,-18
UPM00034519,2011-02-14,TMAX,-111
UPM00034519,2010-09-16,TMAX,249
UPM00034519,2007-06-17,TMAX,299
UPM00034519,2011-04-10,TMAX,55
UPM00034524,2012-10-10,TMIN,45
UPM00034519,2011-12-28,TMAX,56
UPM00034519,2010-08-31,TMIN,127
UPM00034519,2006-11-11,TMIN,12
UPM00034519,2008-02-25,TMIN,-6
UPM00034519,2009-10-12,TMAX,192
UPM00034524,2005-01-06,TMIN,-31
UPM00034524,2005-01-06,TMAX,6
UPM00034519,2013-04-21,TMAX,196
UPM00034524,2005-10-26,TMAX,110
UPM00034519,2006-03-19,TMAX,62
UPM00034519,2005-04-06,TMAX,184
UPM00034524,2006-06-17,TMIN,137
UPM00034519,2010-08-19,TMIN,192
UPM00034524,2005-03-31,TMIN,-66
UPM00034519,2010-02-03,TMAX,9
UPM00034519,2005-11-19,TMIN,40
UPM00034519,2012-09-03,TMAX,248
UPM00034519,2008-04-23,TMIN,112
UPM00034524,2005-05-01,TMIN,57
UPM00034519,2011-09-28,TMAX,239
UPM00034519,2009-11-21,TMAX,60
UPM00034519,2008-10-29,TMIN,32
UPM00034519,2010-10-17,TMAX,135
UPM00034519,2011-09-28,TMIN,93
UPM00034519,2007-03-16,TMAX,81
UPM00034519,2010-05-28,TMIN,95
UPM00034519,2011-05-02,TMAX,221
UPM00034519,2010-08-31,TMAX,296
UPM00034519,2012-08-08,TMAX,361
UPM00034519,2007-02-11,TMIN,-1
UPM00034519,2008-11-18,TMIN,26
UPM00034524,2005-09-25,TMIN,93
UPM00034519,2012-10-15,TMIN,106
UPM00034524,2007-12-06,TMIN,-7
UPM00034524,2014-09-29,TMAX,172
UPM00034519,2013-05-09,TMIN,100
UPM00034519,2006-08-07,TMAX,357
UPM00034524,2014-09-29,TMIN,35
UPM00034519,2011-06-25,TMAX,281
UPM00034524,2008-11-11,TMIN,5
UPM00034519,2011-09-05,TMIN,95
UPM00034519,2012-08-04,TMAX,366
UPM00034524,2005-09-17,TMIN,155
UPM00034519,2011-01-08,TMAX,-25
UPM00034519,2014-03-20,TMAX,108
UPM00034519,2007-10-21,TMAX,172
UPM00034519,2005-07-15,TMIN,150
UPM00034524,2005-08-10,TMIN,124
UPM00034519,2005-11-08,TMAX,103
UPM00034524,2008-10-05,TMAX,205
UPM00034519,2013-05-09,TMAX,262
UPM00034524,2008-06-20,TMIN,139
UPM00034519,2012-12-26,TMAX,40
UPM00034519,2013-09-17,TMAX,198
UPM00034519,2012-12-26,TMIN,-102
UPM00034519,2006-08-07,TMIN,204
UPM00034519,2010-05-23,TMAX,170
UPM00034524,2006-12-05,TMAX,67
UPM00034524,2005-09-25,TMAX,216
UPM00034519,2011-06-25,TMIN,170
UPM00034524,2006-02-15,TMAX,-120
UPM00034519,2007-05-12,TMIN,99
UPM00034519,2005-06-29,TMAX,251
UPM00034519,2010-02-13,TMAX,-25
UPM00034519,2005-10-31,TMIN,-3
UPM00034519,2013-08-05,TMAX,250
UPM00034519,2013-08-05,TMIN,156
UPM00034519,2012-01-11,TMAX,19
UPM00034519,2012-10-01,TMAX,208
UPM00034519,2006-07-27,TMIN,165
UPM00034519,2009-01-07,TMIN,-226
UPM00034519,2008-08-11,TMAX,317
UPM00034519,2012-09-03,TMIN,106
UPM00034519,2006-08-08,TMIN,227
UPM00034519,2010-10-29,TMAX,52
UPM00034519,2013-11-05,TMIN,90
UPM00034519,2010-02-13,TMIN,-87
UPM00034519,2006-08-08,TMAX,359
UPM00034519,2010-09-20,TMIN,122
UPM00034519,2013-03-10,TMIN,6
UPM00034519,2013-11-05,TMAX,145
UPM00034519,2010-10-29,TMIN,-40
UPM00034519,2010-09-17,TMAX,264
UPM00034524,2005-07-18,TMAX,260
UPM00034519,2006-07-27,TMAX,292
UPM00034519,2013-11-07,TMAX,163
UPM00034524,2005-01-11,TMAX,60
UPM00034524,2005-01-11,TMIN,-8
UPM00034524,2005-02-11,TMAX,-73
UPM00034519,2006-01-18,TMIN,-207
UPM00034524,2005-07-18,TMIN,162
UPM00034519,2009-03-31,TMIN,88
UPM00034524,2005-04-14,TMIN,95
UPM00034519,2010-10-20,TMIN,70
UPM00034519,2007-07-17,TMAX,297
UPM00034524,2006-03-27,TMIN,9
UPM00034524,2014-10-16,TMAX,185
UPM00034524,2008-02-05,TMIN,-16
UPM00034519,2012-11-23,TMIN,-49
UPM00034519,2013-09-23,TMIN,82
UPM00034519,2012-11-23,TMAX,57
UPM00034524,2005-09-15,TMAX,266
UPM00034524,2005-09-15,TMIN,150
UPM00034519,2005-11-30,TMAX,106
UPM00034519,2007-03-06,TMIN,10
UPM00034524,2005-04-17,TMIN,80
UPM00034524,2012-09-16,TMIN,148
UPM00034524,2005-03-02,TMIN,-158
UPM00034519,2014-02-04,TMAX,-34
UPM00034524,2006-12-14,TMIN,-31
UPM00034519,2011-07-09,TMAX,294
UPM00034519,2011-01-10,TMIN,-92
UPM00034519,2014-05-19,TMIN,160
UPM00034524,2006-12-14,TMAX,-2
UPM00034519,2009-02-13,TMIN,-8
UPM00034524,2008-01-28,TMIN,-54
UPM00034519,2011-02-22,TMIN,-153
UPM00034524,2014-10-16,TMIN,113
UPM00034519,2011-05-07,TMAX,133
UPM00034524,2008-09-25,TMIN,68
UPM00034519,2008-05-30,TMAX,215
UPM00034519,2011-05-27,TMAX,209
UPM00034519,2011-05-27,TMIN,67
UPM00034524,2005-09-14,TMIN,159
UPM00034519,2011-02-22,TMAX,-90
UPM00034519,2011-09-10,TMIN,100
UPM00034524,2014-07-20,TMIN,158
UPM00034524,2014-08-15,TMIN,233
UPM00034524,2008-03-27,TMIN,-2
UPM00034519,2014-05-16,TMIN,150
UPM00034524,2005-09-14,TMAX,286
UPM00034524,2008-03-20,TMIN,-25
UPM00034519,2011-04-11,TMAX,80
UPM00034524,2014-08-15,TMAX,364
UPM00034519,2011-04-02,TMIN,10
UPM00034519,2009-07-08,TMAX,301
UPM00034524,2008-07-23,TMIN,188
UPM00034519,2012-09-15,TMAX,278
UPM00034519,2014-02-04,TMIN,-153
UPM00034519,2011-03-14,TMAX,81
UPM00034519,2011-08-08,TMIN,150
UPM00034519,2005-11-30,TMIN,18
UPM00034519,2011-08-08,TMAX,296
UPM00034519,2012-09-15,TMIN,136
UPM00034524,2006-12-08,TMIN,-30
UPM00034524,2005-05-25,TMAX,289
UPM00034524,2006-04-11,TMIN,64
UPM00034519,2009-09-15,TMIN,135
UPM00034524,2005-12-03,TMIN,9
UPM00034519,2013-03-03,TMAX,55
UPM00034519,2013-01-30,TMAX,-15
UPM00034524,2006-04-11,TMAX,112
UPM00034519,2005-09-08,TMAX,262
UPM00034519,2008-03-18,TMIN,65
UPM00034519,2011-03-30,TMIN,-13
UPM00034519,2013-05-22,TMIN,168
UPM00034519,2008-12-24,TMIN,-30
UPM00034519,2012-11-05,TMAX,104
UPM00034519,2011-07-09,TMIN,181
UPM00034519,2011-01-10,TMAX,-36
UPM00034519,2005-03-21,TMAX,-10
UPM00034519,2012-06-14,TMIN,199
UPM00034519,2012-06-14,TMAX,345
UPM00034524,2005-09-02,TMIN,69
UPM00034524,2005-09-02,TMAX,203
UPM00034524,2008-02-23,TMIN,5
UPM00034524,2008-02-23,TMAX,44
UPM00034519,2012-05-02,TMIN,131
UPM00034524,2006-12-08,TMAX,50
UPM00034519,2007-07-23,TMIN,186
UPM00034524,2008-12-19,TMIN,-106
UPM00034524,2005-01-07,TMAX,12
UPM00034519,2008-06-30,TMIN,129
UPM00034519,2005-04-18,TMIN,88
UPM00034524,2012-09-16,TMAX,249
UPM00034524,2007-04-04,TMIN,64
UPM00034524,2006-03-04,TMIN,-66
UPM00034519,2013-05-18,TMAX,269
UPM00034519,2013-05-18,TMIN,150
UPM00034519,2012-05-02,TMAX,219
UPM00034519,2012-02-04,TMIN,-182
UPM00034524,2014-07-20,TMAX,267
UPM00034519,2011-05-07,TMIN,58
UPM00034524,2006-07-27,TMAX,286
UPM00034519,2008-11-20,TMIN,-16
UPM00034519,2012-09-23,TMAX,180
UPM00034524,2008-07-31,TMIN,124
UPM00034519,2011-06-14,TMAX,260
UPM00034519,2011-12-19,TMAX,58
UPM00034519,2009-09-01,TMAX,271
UPM00034524,2005-09-12,TMAX,245
UPM00034524,2014-12-16,TMIN,-42
UPM00034519,2013-08-11,TMAX,320
UPM00034524,2005-12-17,TMAX,42
UPM00034519,2011-04-06,TMIN,50
UPM00034524,2006-07-27,TMIN,165
UPM00034524,2007-11-01,TMIN,65
UPM00034519,2006-10-13,TMAX,142
UPM00034524,2006-08-29,TMAX,263
UPM00034524,2005-12-17,TMIN,-4
UPM00034524,2006-08-29,TMIN,155
UPM00034524,2006-05-16,TMIN,117
UPM00034519,2012-10-22,TMIN,33
UPM00034524,2006-03-29,TMAX,141
UPM00034519,2012-07-04,TMIN,162
UPM00034519,2006-01-26,TMIN,-199
UPM00034519,2006-09-30,TMIN,167
UPM00034519,2010-06-25,TMIN,183
UPM00034519,2013-10-12,TMAX,166
UPM00034519,2011-11-28,TMAX,42
UPM00034519,2011-04-06,TMAX,90
UPM00034519,2013-10-12,TMIN,38
UPM00034519,2009-10-13,TMIN,128
UPM00034524,2006-10-20,TMAX,85
UPM00034524,2005-03-22,TMIN,-96
UPM00034524,2006-10-20,TMIN,15
UPM00034524,2005-01-22,TMIN,30
UPM00034519,2012-02-16,TMIN,-57
UPM00034524,2005-02-05,TMAX,-137
UPM00034519,2009-10-13,TMAX,232
UPM00034519,2010-05-27,TMAX,213
UPM00034524,2005-03-22,TMAX,-16
UPM00034519,2012-07-04,TMAX,216
UPM00034519,2012-02-16,TMAX,-8
UPM00034519,2007-02-09,TMIN,10
UPM00034519,2010-04-13,TMIN,45
UPM00034519,2011-05-04,TMAX,223
UPM00034519,2006-06-26,TMAX,302
UPM00034524,2005-09-11,TMIN,145
UPM00034524,2005-09-26,TMIN,81
UPM00034524,2005-09-26,TMAX,188
UPM00034519,2013-06-18,TMAX,295
UPM00034519,2006-09-05,TMIN,151
UPM00034519,2013-08-03,TMAX,220
UPM00034519,2010-11-14,TMIN,86
UPM00034524,2006-04-12,TMIN,69
UPM00034519,2010-11-22,TMAX,62
UPM00034519,2011-07-02,TMIN,142
UPM00034519,2011-07-02,TMAX,266
UPM00034519,2011-04-11,TMIN,-2
UPM00034519,2012-02-04,TMAX,-80
UPM00034519,2012-10-22,TMAX,191
UPM00034519,2005-03-08,TMAX,46
UPM00034519,2009-07-08,TMIN,170
UPM00034524,2008-07-23,TMAX,314
UPM00034524,2014-09-13,TMAX,215
UPM00034519,2013-09-23,TMAX,150
UPM00034519,2010-11-14,TMAX,197
UPM00034519,2011-09-10,TMAX,168
UPM00034519,2005-11-04,TMIN,66
UPM00034519,2008-06-23,TMAX,229
UPM00034519,2011-05-04,TMIN,102
UPM00034524,2014-09-13,TMIN,120
UPM00034519,2011-08-16,TMIN,176
UPM00034524,2006-04-07,TMAX,155
UPM00034519,2008-08-01,TMIN,130
UPM00034524,2007-02-02,TMIN,-9
UPM00034519,2010-11-22,TMIN,37
UPM00034519,2012-02-26,TMAX,14
UPM00034524,2006-03-29,TMIN,35
UPM00034519,2007-07-26,TMIN,193
UPM00034524,2008-04-23,TMIN,85
UPM00034524,2007-02-02,TMAX,4
UPM00034519,2007-07-26,TMAX,273
UPM00034519,2005-06-26,TMIN,136
UPM00034524,2006-04-07,TMIN,38
UPM00034524,2014-12-01,TMAX,-60
UPM00034519,2010-04-24,TMIN,21
UPM00034519,2012-11-12,TMAX,68
UPM00034519,2007-10-12,TMIN,10
UPM00034519,2012-11-12,TMIN,-26
UPM00034519,2013-05-22,TMAX,300
UPM00034519,2010-01-27,TMIN,-228
UPM00034524,2006-05-31,TMIN,137
UPM00034524,2006-01-23,TMIN,-320
UPM00034524,2014-08-04,TMIN,204
UPM00034524,2007-12-19,TMIN,-75
UPM00034524,2005-04-10,TMIN,46
UPM00034524,2009-02-23,TMAX,-55
UPM00034524,2006-10-06,TMIN,140
UPM00034519,2011-01-04,TMAX,-6
UPM00034524,2005-04-10,TMAX,196
UPM00034524,2009-03-04,TMIN,-99
UPM00034524,2005-05-03,TMIN,69
UPM00034524,2008-09-26,TMIN,66
UPM00034519,2010-12-18,TMAX,10
UPM00034519,2009-11-12,TMAX,90
UPM00034524,2006-07-08,TMIN,152
UPM00034519,2008-02-05,TMIN,0
UPM00034519,2006-07-28,TMIN,156
UPM00034519,2009-10-01,TMAX,144
UPM00034519,2006-07-28,TMAX,213
UPM00034519,2007-06-20,TMIN,171
UPM00034519,2005-09-21,TMIN,103
UPM00034524,2007-03-23,TMAX,116
UPM00034524,2008-06-24,TMIN,138
UPM00034519,2006-09-28,TMIN,126
UPM00034524,2007-03-23,TMIN,-15
UPM00034524,2006-06-08,TMAX,175
UPM00034519,2008-07-20,TMAX,282
UPM00034519,2011-11-06,TMAX,-2
UPM00034524,2006-10-06,TMAX,243
UPM00034519,2008-07-29,TMIN,128
UPM00034519,2006-10-26,TMAX,158
UPM00034524,2006-05-15,TMIN,109
UPM00034524,2009-02-23,TMIN,-120
UPM00034519,2008-04-14,TMIN,86
UPM00034524,2005-03-02,TMAX,-23
UPM00034524,2006-05-31,TMAX,291
UPM00034519,2010-02-11,TMAX,-47
UPM00034519,2008-07-29,TMAX,245
UPM00034519,2010-01-27,TMAX,-112
UPM00034519,2010-06-28,TMAX,301
UPM00034519,2008-07-20,TMIN,182
UPM00034519,2010-04-26,TMAX,125
UPM00034519,2013-08-22,TMIN,134
UPM00034524,2006-12-09,TMIN,-10
UPM00034519,2013-12-23,TMAX,19
UPM00034519,2013-12-23,TMIN,-22
UPM00034519,2010-04-26,TMIN,22
UPM00034519,2006-12-11,TMIN,-8
UPM00034519,2006-02-15,TMIN,-202
UPM00034519,2006-02-15,TMAX,-95
UPM00034519,2011-06-05,TMIN,106
UPM00034519,2011-11-09,TMAX,23
UPM00034519,2010-10-26,TMAX,132
UPM00034519,2014-03-09,TMAX,66
UPM00034519,2012-04-05,TMAX,197
UPM00034519,2012-04-05,TMIN,27
UPM00034519,2005-01-10,TMIN,0
UPM00034524,2009-01-13,TMIN,-89
UPM00034519,2012-03-30,TMAX,68
UPM00034519,2011-08-18,TMAX,256
UPM00034519,2011-08-18,TMIN,178
UPM00034519,2012-03-30,TMIN,37
UPM00034519,2009-11-12,TMIN,65
UPM00034519,2005-03-21,TMIN,-86
UPM00034524,2005-05-03,TMAX,144
UPM00034519,2010-10-26,TMIN,64
UPM00034519,2007-11-07,TMIN,-93
UPM00034524,2006-04-16,TMIN,26
UPM00034519,2009-08-12,TMAX,258
UPM00034524,2009-02-13,TMIN,-17
UPM00034519,2010-03-01,TMIN,-7
UPM00034519,2011-11-18,TMAX,22
UPM00034519,2008-03-21,TMIN,9
UPM00034519,2009-08-13,TMIN,131
UPM00034519,2011-11-09,TMIN,0
UPM00034519,2009-10-01,TMIN,7
UPM00034519,2008-12-16,TMIN,-68
UPM00034519,2010-09-15,TMIN,132
UPM00034519,2010-09-15,TMAX,255
UPM00034524,2008-07-09,TMAX,284
UPM00034519,2009-08-13,TMAX,284
UPM00034524,2009-01-13,TMAX,-3
UPM00034519,2013-08-11,TMIN,180
UPM00034524,2008-07-09,TMIN,168
UPM00034524,2005-01-22,TMAX,65
UPM00034519,2009-12-03,TMAX,68
UPM00034519,2008-07-30,TMAX,237
UPM00034524,2014-10-10,TMAX,175
UPM00034519,2012-04-12,TMAX,115
UPM00034519,2009-09-10,TMIN,140
UPM00034519,2014-01-07,TMIN,-3
UPM00034519,2011-03-30,TMAX,125
UPM00034519,2005-09-21,TMAX,210
UPM00034519,2013-01-14,TMIN,-90
UPM00034524,2015-01-11,TMIN,-11
UPM00034519,2011-06-11,TMIN,156
UPM00034519,2011-06-11,TMAX,228
UPM00034519,2014-05-19,TMAX,288
UPM00034524,2006-09-29,TMIN,136
UPM00034524,2005-07-30,TMAX,293
UPM00034524,2009-05-13,TMIN,106
UPM00034519,2006-07-16,TMAX,268
UPM00034524,2006-05-10,TMAX,142
UPM00034519,2009-09-10,TMAX,292
UPM00034519,2006-05-15,TMAX,244
UPM00034519,2007-05-26,TMIN,222
UPM00034519,2006-04-06,TMIN,16
UPM00034519,2009-02-18,TMIN,-70
UPM00034524,2006-09-05,TMIN,140
UPM00034519,2012-11-05,TMIN,86
UPM00034524,2006-05-10,TMIN,73
UPM00034519,2005-09-08,TMIN,128
UPM00034519,2014-01-07,TMAX,36
UPM00034519,2010-10-27,TMAX,108
UPM00034524,2005-01-07,TMIN,-7
UPM00034519,2005-10-10,TMAX,160
UPM00034519,2010-05-15,TMAX,238
UPM00034519,2012-04-12,TMIN,87
UPM00034519,2010-05-15,TMIN,146
UPM00034519,2009-05-27,TMIN,74
UPM00034524,2005-04-17,TMAX,121
UPM00034519,2010-03-30,TMAX,157
UPM00034524,2005-08-17,TMIN,181
UPM00034519,2010-03-30,TMIN,43
UPM00034519,2009-09-15,TMAX,233
